,subject,name,review,time,location,sentiments
2669,,,"It was an amazing experience. We enjoyed the sunny weatherwhile we are swimming in the loveliest pool. Also,you can have a delicious meal while hou are watching the sunset. The best time to swim is early morning 😍.More",,,Positive
2670,,,"Dear mnn5679,

Thank you for your delightful review.

I am glad to read that you enjoyed your stay at Marina Bay Sands, particularly enjoying your dining experiences on property and your time spent at the Sands SkyPark infinity pool. 

I certainly look forward to welcoming...More",,,Positive
2671,,,"Just Awesome ....everything is just luxurious. The swimmingpool is just Woww. The staff is always kind and helpful for everything. Nice view from the Top. Highly recommend.
To stay there is very expensive.More",,,Positive
2672,,,"Dear Angela K,

Thank you for your kind review and recommendation. 

I am delighted to learn that you enjoyed your time spent at the Sands SkyPark infinity pool and that our Team Members provided you with excellent service which helped to enhance the enjoyment of...More",,,Positive
2673,,,"This hotel is the epitome of luxury - from the exterior, the rooms, infinity pool and shoppes for convenience. Plus there is plenty of activities and entertainment in close proximity.

However, unless you have club rooms or suites booked with a dedicated check-in area, you'll...More",,,Neutral
2674,,,"Dear Veronica W,

Thank you for sharing your review on TripAdvisor.

I am glad to learn that you enjoyed your overall stay at Marina Bay Sands, especially enjoying your appointed accommodation as well as your time spent at the Sands SkyPark infinity pool and The...More",,,Positive
2675,,,"Buy 2 for $10! While stocks last! says the coca cola ad on the mini bar. There are generally a lot of ads around, on basically every screen. For one night, we got ourselves a room with fantastic view and entrance to the amazing infinity...More",,,Positive
2676,,,"Dear Andreas H,

Thank you for sharing your valued feedback.

Though I am glad to read that you enjoyed your appointed accommodation and your time spent at the Sands SkyPark infinity pool, I am disheartened to read that your stay with us was not a...More",,,Positive
2677,,,"Amazing location, very clean rooms, perfect service, super view from the room on the 38th floor ,everywhere: in the hotel, in the city super organisation ! Staff is very friendly and helpful. We will come again !More",,,Positive
2678,,,"Thank you for your positive review, baloghmaria28. 

I am delighted to note that you enjoyed your appointed accommodation, and that our Team Members consistently provided you with excellent service which helped to enhance the enjoyment of your stay.

I certainly look forward to welcoming you...More",,,Positive
2679,,,One of the biggest hotels in the world. Over 2000 rooms in 3 tower and lots of restaurants and shops. Bar on 57 must for stunning views of Singapore. Drinks surprisingly not expensive. Use tower 1 elevator.  lively coffe shop on the ground floor with...More,,,Positive
2680,,,"Dear Kate S,

Thank you for your kind review and recommendation.

I am glad to learn that you enjoyed your overall stay at Marina Bay Sands, especially enjoying your dining experience at SweetSpot. I certainly look forward to welcoming you back to our one-stop destination...More",,,Positive
2681,,,"We chose to spend one night (and many hundreds of dollars) at this hotel purely to experience the infinity pool and enjoy the view from the room. The pool is truly amazing, well worth the money to be on top of the ""ship"". The views...More",,,Positive
2682,,,"Dear Suey6254,

Thank you for sharing your review on TripAdvisor.

Though I am happy to read that you enjoyed your time spent at the Sands SkyPark infinity pool, I am disheartened to learn that your stay with us was not a complete success. Please rest...More",,,Positive
2683,,,"No matter what room option you go for, Marina Bay Sands is expensive. There's no getting around it. But, as with most once-in-a-lifetime experiences, you shouldn't let that deter you. If you're visiting Singapore and you can make it happen, you should stay here -...More",,,Neutral
2684,,,"Dear Wadsworth25,

Thank you for taking the time to share your positive review on TripAdvisor.

I am delighted to read that you thoroughly enjoyed your stay at Marina Bay Sands, especially enjoying your appointed Club Room, the privileges at Club55, as well as your time...More",,,Positive
2685,,,I stayed at this hotel near the end of March. In the beginning I was a bit sceptical as I read some negative reviews. When I arrived there I was a bit overwelmed from the sere size of the building. My check in was fast...More,,,Negative
2686,,,"Dear panagiotis v,

Thank you for your kind review and recommendation.

I am delighted to learn that you thoroughly enjoyed your stay at Marina Bay Sands, particularly enjoying your appointed garden view room, your dining experiences on property, as well as your time spent at...More",,,Positive
2687,,,Armed with pre purchased drink vouchers to go up to either of the bar areas available to non guests of the hotel you are afforded one of the most amazing views of greater Singapore. During the day try and get there right on opening to...More,,,Positive
2688,,,"Dear Vasanasa,

Thank you for your positive review.

I am glad to read that you enjoyed your visit to Marina Bay Sands, and I certainly look forward to welcoming you back in the near future to experience more of what our one-stop destination has to...More",,,Positive
2689,,,"Stayed here with my girlfriend while we were visiting Singapore mainly so we could go to the infinity pool on the roof!

We arrived mid morning before the designated check in time but the reception staff were very accommodating and gave us our room early....More",,,Positive
2690,,,"Dear RyanM240,

Thank you for your kind review.

I am happy to note that you and your loved one enjoyed your stay at Marina Bay Sands, especially enjoying your garden view room as well as your time spent at the Sands SkyPark infinity pool and...More",,,Positive
2691,,,"The Marina Bay Sands hotel is a must stay to use the pool on the 57th floor. You look down on the whole city from the pool with a great view either day or night. The hotel has a number of fine restaurants, plus it...More",,,Positive
2692,,,"Dear SeniorsAtanta,

Thank you for your kind review.

I am delighted to learn that you enjoyed your stay at Marina Bay Sands, particularly enjoying your dining experiences on property, as well as your time spent at the Sands SkyPark infinity pool and The Shoppes. 

I...More",,,Positive
2693,,,I don't think it's any secret why everyone looks to stay at the MBS: the pool. And it truly is an amazing sight to be lounging across from the Singapore skyline day or night in a pool 57 floors up. I've never stayed an any...More,,,Positive
2694,,,"Dear mwmax54,

Thank you for your valuable feedback.

I am glad to read that you enjoyed your time spent at the Sands SkyPark infinity pool, The Shoppes and ArtScience Museum. However, I am disappointed to read about the challenges that you encountered during your stay...More",,,Neutral
2695,,,"This hotel as amazing views from the pool on the top floor. The hotel staff are excellent at check-in. The hotel rooms are unreal. Amazing. Huge shower, huge bath, huge bed. Everything is perfect. There's one downfall but it's what you expect. It's expensive to...More",,,Positive
2696,,,"Thank you for your positive review, Shaun P. 

I am glad to note that you enjoyed your stay at Marina Bay Sands, particularly enjoying your appointed accommodation and your time spent at the Sands SkyPark infinity pool.

I certainly look forward to welcoming you back...More",,,Positive
2697,,,"The hotel looks so impressive from the outside, it really is the highlight of the surrounding sky line! At night it looks great and gives a lot of good photo opportunities!

The hotel has an amazing sky park on the top which is accessible only...More",,,Positive
2698,,,"Dear LuanBarnes,

Thank you for your kind review and recommendation.

I am pleased to read that you enjoyed your overall stay at Marina Bay Sands, especially enjoying your dining experiences on property and your time spent at the Sands SkyPark infinity pool.

I am also...More",,,Positive
2699,,,"This is my second time stay in Marina bay sands. First visit was two years ago. Compare to first visit , second visit was not nice at all. The infinity swimming pool was super crowded. All the jacuzzies are full with ppls. Towels in the...More",,,Positive
2700,,,"Dear Mai S,

Thank you for your valuable feedback.

I am disappointed to learn about the challenges that you encountered during your most recent stay with us. Please allow me to assure you that your feedback is important to us, and that I have shared...More",,,Neutral
2701,,,"This hotel is insane! The shear size of the hotel itself is mind blowing and it did not disappoint. We stayed in a Premier Skyview room with an extra bed. First off, the staff at checkin were very helpful as we asked for a slightly...More",,,Negative
2702,,,"Dear Sierra T,

Thank you for your delightful review.

I am happy to read that you enjoyed your stay at Marina Bay Sands, particularly enjoying your appointed accommodation and your time spent at the Sands SkyPark infinity pool.

I am also pleased to note that...More",,,Positive
2703,,,"Made a bee line for the hotel with a mission to head to the roof to check out the view and to say ""been there!"".  The external structure architecturally is amazing and the closer you get to the building - the more you marvel at...More",,,Positive
2704,,,"Dear Merc9SLK,

Thank you for your valuable feedback.

I am disheartened to learn that your visit to Marina Bay Sands was not a complete success. Please allow me to assure you that we will certainly continue striving to enhance the quality of our offerings in...More",,,Positive
2705,,,We stayed in this hotel last May 2016 with our kids. We booked for a deluxed room and got a free room updgrade! Our kids were very happy with our spacious room at Tower 1.  We can see the gardens by the bay in our...More,,,Positive
2706,,,"Dear gie1213,

Thank you for your kind review.

I am happy to learn that you and your family thoroughly enjoyed your stay at Marina Bay Sands, particularly enjoying your upgraded accommodation and your time spent at the Sands SkyPark infinity pool.

I certainly look forward...More",,,Positive
2707,,,"An amazing experience. I thought it would be all about the pool, the views, etc. But this is an extremely well-run hotel with staff that seem to care about what they do. So much choice for meals and breakfast means that it caters for all...More",,,Positive
2708,,,"Dear PaulRowleyUK,

Thank you for taking the time to share your delightful review on TripAdvisor.

I am pleased to learn that you thoroughly enjoyed your stay at Marina Bay Sands, especially enjoying your dining experience at SweetSpot and your time spent at the Sands SkyPark...More",,,Positive
2709,,,"Yes, this hotel is pricey. But I feel it's totally worth it. Stayed there for two nights in a deluxe room with the nice view of the ocean and the Gardens by the Bay. The room was very nice with complete amenities. Enjoyed the sky...More",,,Positive
2710,,,"Thank you for your positive review, Zee H. 

I am glad to read that you enjoyed your stay at Marina Bay Sands, particularly enjoying your garden view room, your dining experiences on property, as well as your time spent at the Sands SkyPark infinity pool....More",,,Positive
2711,,,"Definitely visit. The views are amazing. You have to pay $20 each to go to the bar but this can be exchanged for a drink. For 2 cocktails you will have to pay on top again but it's well worth it. 
The hotel is amazing...More",,,Positive
2712,,,"Dear Gaz8r,

Thank you for your kind review and recommendation.

I am glad to read that you enjoyed your visit to Marina Bay Sands, and I certainly look forward to welcoming you back in the near future to experience more of our multi-dimensional offerings.",,,Positive
2713,,,"I don't think many international travellers of the world would not recognise the architecture of this iconic hotel. The unusual design of 3 interlinked towers instead of a single building creates a vast and very long cavernous lobby area.

When we arrived by taxi to...More",,,Positive
2714,,,"Dear KiwichickAuckland,

Thank you for taking the time to share your valued feedback on TripAdvisor.

Though I am glad to note that you enjoyed your time spent at the Sands SkyPark infinity pool, I regret to learn that your stay with us was not a...More",,,Positive
2715,,,"We was there with my wife the second week of April... and it was great... it was an unforgettable experience...
One week before they ask us for our documents to compleat our check-in and do it faster... 
at first we booked a deluxe room but...More",,,Positive
2716,,,"Dear _niko_92_niko,

Thank you for your kind review.

I am happy to read that you and your loved one enjoyed your stay at Marina Bay Sands, particularly enjoying your upgraded Club Room. I am also glad to learn that our Team Members consistently provided you...More",,,Positive
2717,,,We stayed here for one night as a stop-over. We'd visited Singapore before and just wanted to experience the hotel and the legendary infinity pool on the roof. Whilst the rooms are very nice and typical of any 5 star hotel in this part of...More,,,Positive
2718,,,"Dear Sam G,

Thank you for your review.

Though I am glad to read that you enjoyed your appointed accommodation as well as your time spent at the Sands SkyPark infinity pool, I regret to note that your stay with us was not a complete...More",,,Positive
2719,,,The hotel is huge and when I say huge I mean huge. It's difficult to fathom just how large it really is. So you can feel a little drowned out sometimes by how hectic everything is and how many people are around you at times....More,,,Positive
2720,,,"Dear Jadore O,

Thank you for your review.

I am happy to read that you enjoyed your overall stay at Marina Bay Sands, especially enjoying your appointed accommodation and your time spent at the Sands SkyPark infinity pool.

We will continually strive to enhance the...More",,,Positive
2721,,,Incredible views and surrounding amenities. Worth staying for one day just to check out the infinity pool as it cannot be accessed without booking a room! A must do for anyone visiting Singapore!!!!!!More,,,Positive
2722,,,"Dear James B,

Thank you for your positive review.

I am glad to note that you enjoyed your stay at Marina Bay Sands, particularly enjoying your time spent at the Sands SkyPark infinity pool.

I certainly look forward to welcoming you back soon for more...More",,,Positive
2723,,,"We stayed here for 3 days in April 2017. We had a room on the 40th floor overlooking the Gardens. Pic below,,
  Room was brilliant, and large with all what you would expect from this hotel such as balcony, air con, beautiful bathroom with large...More",,,Positive
2724,,,"Thank you for your positive review, Caddies104. 

I am happy to note that you enjoyed your stay at Marina Bay Sands, especially enjoying your garden view room and your time spent at the Sands SkyPark infinity pool and The Shoppes.

I look forward to the...More",,,Positive
2725,,,"What a truly magnificent piece of imagination and engineering to build such a structure. Our suite was spacious and well equipped; clinical in its cleanliness one could say. The view of the city from our 40th floor room was extraordinary, especially at night. You cannot...More",,,Positive
2726,,,"Dear btc12016,

Thank you for your positive review.

I am glad to learn that you enjoyed your stay at Marina Bay Sands, particularly enjoying your appointed Suite, the privileges at Club55, as well as your time spent at the Sands SkyPark infinity pool.

I am...More",,,Positive
2727,,,Wow! I came here for my other half birthday and we were spoilt rotten by the staff at Marina Bay Sands. We first came into the check in desk greeted by Glenn who gave us a room in level 40 and late check out. He...More,,,Neutral
2728,,,"Dear Yvonne M,

Thank you for your kind review and recommendation, and for the privilege of hosting you on this special occasion. 

I am delighted to note that you and your loved one thoroughly enjoyed your stay at Marina Bay Sands, and that our Team...More",,,Positive
2729,,,"I booked a trip to Thailand for my husbands 30th and as an additional surprise booked a 2 night stay at MBS. 

We flew from Phuket which only took at hour and a half and then was an additional 20 minutes to the hotel. 

We...More",,,Negative
2730,,,"Dear mrs_ramsey1988,

Thank you for your delightful review and for the privilege of hosting you on this special occasion. 

I am glad to read that you and your loved one enjoyed your stay at Marina Bay Sands, particularly enjoying your garden view room, your dining...More",,,Positive
2731,,,"The hotel is too big and has very little charm. Check in and out is a very tiresome process. If you stay at the executive floor, you have access to the lounge 55. The service there is very good as is the food and drinks....More",,,Neutral
2732,,,"Dear Allen W,

Thank you for your valuable feedback.

Though I am glad to read that you enjoyed the privileges at Club55, I regret to learn that your stay with us was not a complete success. Please allow me to assure you that your feedback...More",,,Positive
2733,,,"Let me start with something. The minute the taxi drops you (at the main entrance at Tower 1), you will feel like ""Oh my god what did I get myself into"". That was how I felt when we first arrived and witnessed the hoards of...More",,,Positive
2734,,,"Dear SamDubster,

Thank you for taking the time to detail your positive experience at Marina Bay Sands. 

I am glad to learn that you thoroughly enjoyed your overall stay with us, especially enjoying your appointed Suite and your time spent at the Sands SkyPark infinity...More",,,Positive
2735,,,"We paid a lot for this stay n faced the following issue :

1. The bathroom smells horrible. As soon as you step in you can smell foul odour ( smell like wee actually :( ) from the sewage and drain. I wrote a note...More",,,Negative
2736,,,"Dear licienana, 

Thank you for sharing your feedback on TripAdvisor. 

I am disheartened to learn that your recent stay was not a success. 

Please rest assured that your feedback is important to us, and we will certainly continue to review measures to enhance the quality...More",,,Positive
2737,,,"I stayed here with a friend of mine for one night in November 2016.
I had always wanted to stay at this hotel and I was not disappointed. We had a room on the 34th floor with a city view. 
The check in was quick...More",,,Positive
2738,,,"Thank you for your kind review, Nathaniel J. 

I am glad to read that you enjoyed your stay at Marina Bay Sands, particularly enjoying your city view room, our in-room dining service, as well as your time spent at the Sands SkyPark infinity pool.

I...More",,,Positive
2739,,,The Marina Bay Sands hotel was on my bucket-list from the moment I saw it. It is a must for visiting Singapore. The hotel was excellent in every aspect! The check-in and check-out process is very simple especially for such a high-class hotel. The rooms...More,,,Positive
2740,,,"Dear Adnan P,

Thank you for your positive review.

I am delighted to learn that you enjoyed your stay at Marina Bay Sands, particularly enjoying your appointed accommodation and your time spent at the Sands SkyPark infinity pool. 

I am also happy to read that...More",,,Positive
2741,,,"If you would like to stay in luxury hotel, Marina Bay Sands should be your list.
They have casino provide, food court on the ground flool, can visit Sky Park at the top of the hotel. And closed to MTR, can easy walk to Garden...More",,,Positive
2742,,,"Dear Suphaporn r,

Thank you for your kind review and recommendation.

I am pleased to read that you thoroughly enjoyed your visit to Marina Bay Sands, and I certainly look forward to welcoming you back in the near future to experience more of our multi-dimensional offerings.",,,Positive
2743,,,"Honestly I had a big expectation about the hotel. 

For the check in a long queue wait for you and if you are the visitor no sofás can be found in the área.

Due to the hugh numbers of guest is very difficult get the...More",,,Neutral
2744,,,"Dear Maryvim,

Thank you for your valuable feedback.

I am pleased to learn that you enjoyed your overall stay at Marina Bay Sands, especially the time spent at the Sands SkyPark infinity pool and your breakfast on property. Please also allow me to assure you...More",,,Positive
2745,,,"check-in: it was crowded and confusing when we checked in at the hotel. the online reservation did not mention which tower to check in our rooms. despite we waited in queue for almost 30 minutes, we were accommodated by the manager to speed up the...More",,,Negative
2746,,,"Dear zchizzerz,

Thank you for sharing your review on TripAdvisor.

I am happy to learn that you enjoyed your stay at Marina Bay Sands, particularly enjoying your upgraded accommodation, your breakfast at Club55, as well as your time spent at the Sands SkyPark infinity pool....More",,,Positive
2747,,,"Stayed at orchid suite on the 53rd floor.  Room is big and spacious with spectacular view of the city.  
Very nice bathroom with good amenities. Mini bar is locked unless you request for them. 
Friendly staff, however no halal food around.More",,,Positive
2748,,,"Dear Tyraz,

Thank you for your positive review.

I am glad to note that you enjoyed your appointed Orchid Suite and that our Team members' service standards consistently exceeded your expectations. With regards to Halal dining options, kindly note that 1983 A Taste of Nanyang...More",,,Positive
2749,,,"must book this hotel at earily one month in advanced ..
crazy damm busy hotel ..
the room was very well managed & service was impeccable 
they have moslly all celebrity Restaurant 
including chef goden Ramasay 

daniel ,,oizza 

punjab Grill ,,,,,,cut .....spigo 
love this amazing...More",,,Positive
2750,,,"Dear guju1983,

Thank you for your kind review.

I am happy to read that you enjoyed your stay at Marina Bay Sands, particularly enjoying your appointed accommodation and your dining experiences on property. 

I am also pleased to learn that our Team Members consistently provided...More",,,Positive
2751,,,"we stayed for 3nt with my family in march 2017. We upgraded to premium rooms and were allowed room on 33rd floor with stunning views of garden by the bay from balcony.
room was very spacious and with all luxury amenities.
but what's make this...More",,,Positive
2752,,,"Dear drkavish,

Thank you for your review.

I am glad to read that you and your family enjoyed your overall stay at Marina Bay Sands, particularly enjoying your upgraded accommodation and your time spent at the Sands SkyPark infinity pool.

We will certainly continue striving...More",,,Positive
2753,,,"There are common threads to all reviews of Marina Bay Sands (MBS) and they're true; great views, great service, very busy, popular and very pricey. If you really want to experience Singapore however, then MBS has got to be one of the places that you...More",,,Positive
2754,,,"Dear Matt L,

Thank you for taking the time to share your review with us on TripAdvisor. 

Though I am pleased to note that you enjoyed your overall stay at Marina Bay Sands, I regret to learn about the challenges that you encountered during your...More",,,Positive
2755,,,I have stayed at Marina Bay Sands around 3-4 times before primarily because I was attending conferences at the convention center across the street.  Most of my Singaporean friends have said that they would not recommend it to visitors because of the crowds.  I would...More,,,Positive
2756,,,"Dear SydneyVaughn,

Thank you for sharing your review on TripAdvisor.

I regret to learn that your stay with us was not a complete success. Pleas rest assured that your feedback is important to us and I have shared your comments regarding your breakfast on property...More",,,Positive
2757,,,I spent one night at this hotel following a cruise. This is the most incredible hotel that I have ever seen. My room was in Tower 1 on the 41st floor and provided excellent views of the bay. I arrived at the hotel very early...More,,,Positive
2758,,,"Thank you for your delightful review, Charles J. 

I am pleased to learn that you thoroughly enjoyed your stay at Marina Bay Sands, especially enjoying your appointed accommodation and your time spent at the Sands SkyPark infinity pool and The Shoppes. 

We do our best...More",,,Positive
2759,,,"Staying at this hotel had long been on my bucket list, mainly for the Infinity Pool.

Though check-in was from 3pm, we had to check out of another place at 11am and headed here and were happy to find we could check in. 

We got...More",,,Positive
2760,,,"Dear Sarah I,

Thank you for sharing your valued feedback on TripAdvisor. 

Though I am pleased to note that you enjoyed your appointed Deluxe King Sky View accommodation, I am disappointed to learn about the service challenges that you encountered during your stay with us....More",,,Positive
2761,,,"The prize is not really attractive compared to some other hotel in Singapore who proposed a suite for that prize. 
Also the breakfast is not include in the prize of the room. No reduction for the restaurant also. 
But this hotel is incredible , more...More",,,Positive
2762,,,"Dear bluestone976,

Thank you for taking the time to share your valued feedback on TripAdvisor.

Though I am glad to note that you enjoyed the view from the Sands SkyPark, I am disappointed to learn that your stay with us was not a complete success...More",,,Neutral
2763,,,"Just the perfect place to stay in Singapore, everything was exceptional including service in the many restaurants, housemaids, to the reception staff !! 
Location is close to everything and not far by taxi to orchard road for your shopping about $11 in a taxi !!More",,,Positive
2764,,,"Dear les662014,

Thank you for your kind review.

I am glad to note that you enjoyed your stay at Marina Bay Sands and that our Team Members consistently provided you with excellent service which helped to enhance the enjoyment of your stay. Service is a...More",,,Positive
2765,,,We had decided to lash out and have 1 night here just to say we had stayed but never in our wildest dreams did we think it would be so special. We were travelling with our adult daughter so had booked 2 standard rooms. As...More,,,Positive
2766,,,"Dear Alan G,

Thank you for your delightful review.

I am glad to read that you and your family thoroughly enjoyed your stay at Marina Bay Sands, especially enjoying your upgraded Suite and your time spent at the Sands SkyPark infinity pool. 

I certainly look...More",,,Positive
2767,,,"Just for one night in Singapore & Marina Bay Sands hotel, everything was perfect the room was standard and had everything we needed! This hotel is very impressive & expensive of course, but it worth all the money.More",,,Positive
2768,,,"Dear Havana B,

Thank you for your positive review.

I am pleased to read that you enjoyed an amazing stay at Marina Bay Sands, especially enjoying your appointed accommodation. 

I certainly look forward to welcoming you back in the near future for more fulfilling stay...More",,,Positive
2769,,,"This hotel is a signature of Singapore. Rooms are very spacious, top roof pool is one of a kind experience and the view from there is breathtaking. You can see the whole business district, Flower Dome, Gardens by the Bay, Cargo harbour and much more.More",,,Positive
2770,,,"Dear Mike W,

Thank you for your kind review.

I am delighted to learn that you enjoyed your stay at Marina Bay Sands, especially enjoying your appointed accommodation and your time spent at the Sands SkyPark infinity pool.

I look forward to welcoming you back...More",,,Positive
2771,,,Our second visit to the hotel and it was even better than the first. The suite we booked was huge and we had views of the city and the sea so we had the best of both worlds. Ce La Vie restaurant and the bar...More,,,Positive
2772,,,"Dear Robert M,

Thank you for your kind review and recommendation.

I am pleased to read that you enjoyed your stay at Marina Bay Sands, especially enjoying your appointed Suite and your dining experiences on property. 

I certainly look forward to welcoming you back to...More",,,Positive
2773,,,"The best customer service hotel that I had ever stayed. The staffs are friendly, great and very helpful with arranging a memorable stay for my wife and me. 

In the morning, we received a call from the front office informing us that our room are...More",,,Positive
2774,,,"Dear Terrington T,

Thank you for taking the time to share your delightful review with us.

I am pleased to learn that you and your loved one enjoyed your stay at Marina Bay Sands, especially enjoying your upgraded Orchid Suite. I am also thrilled to...More",,,Positive
2775,,,"I will say right off the bat that I hate Singapore.  If you want to come to Asia, but are afraid to leave your comfort zone, then this is your place.  For me, though, it is sterile, regimented, over-commercialized and just plain unremarkable - everything...More",,,Negative
2776,,,"Dear Bernard G, 

Thank you for your valued feedback. 

I am disappointed to learn that your visit to Marina Bay Sands was not a complete success. Please rest assured that we continually strive to enhance the quality of our offerings and our service touch points...More",,,Negative
2777,,,"What a hotel, an icon in it's own right. The pool deck, the sky deck and the general use areas of the hotel are all amazing. The views from every vantage point are amazing and should be treated with due respect, don't rush. The service...More",,,Positive
2778,,,"Dear Stocoroco,

Thank you for taking the time to share your valued feedback on TripAdvisor.

I am happy to learn that you enjoyed your overall stay at Marina Bay Sands, particularly enjoying your time spent at the Sands SkyPark Observation Deck and infinity pool.

I...More",,,Positive
2779,,,This hotel is one of the best I have stayed. Room fantastic with a view of the bay. Great customer service. The infinity pool is fantastic at night and during the day. This is a must visit place if you are visiting Singapore. I will...More,,,Positive
2780,,,"Dear Soraya H,

Thank you for your kind review and recommendation.

I am happy to learn that you thoroughly enjoyed your stay at Marina Bay Sands, particularly enjoying your appointed room and your time spent at the Sands SkyPark infinity pool.

I am also pleased...More",,,Positive
2781,,,"Beautiful hotel. Although a bit busy it's like an airport people always moving around. The staff are great , very helpful our bag handle was broken they gave us a room extension till our flight and a limo to the airport. Every city needs a...More",,,Positive
2782,,,"Dear Laila K,

Thank you for sharing your review on TripAdvisor. 

I am glad to read that you enjoyed your overall stay at Marina Bay Sands, and that our Team Members' service standards consistently exceeded your expectations. 

I look forward to the opportunity to welcome...More",,,Positive
2783,,,"Have been in SNG many times. Decided this time to book the Marina Bay Sands which was really more like a...not the thing we expected, unusual for SNG.

Staff: Some of them are very unkind and definitve not willing to assist in easy questions or...More",,,Positive
2784,,,"Dear Manuel M,

Thank you for sharing your valuable feedback with us on TripAdvisor. 

I regret to learn about the challenges that you encountered during your recent stay with us. Service is a top priority for us, please allow me to assure you that I...More",,,Positive
2785,,,MBS is a huge and vibrant hotel. It is worthwhile upgrading to the Club Level. Where you have a fantastic selection of food and beverages  The standard of service from the CLub Level team outstanding. And the rooms are large and well appointed. And then...More,,,Positive
2786,,,"Dear GB227,

Thank you for your kind review.

I am pleased to learn that you enjoyed your stay at Marina Bay Sands, especially enjoying your appointed Club Room, the privileges at Club55, as well as your time spent at the Sands SkyPark infinity pool.

I...More",,,Positive
2787,,,Me and my friends went to singapore after our stay in thailand. We decided to treat ourselves for a night and stay at Marina Bay Sands which was the best choice ever. We stayed at one of the top floors with the view of the...More,,,Positive
2788,,,"Dear Rahima B,

Thank you for your positive review.

I am glad to note that you and your friends thoroughly enjoyed your stay at Marina Bay Sands, especially enjoying your garden view room as well as your time spent at the Sands SkyPark infinity pool...More",,,Positive
2789,,,The property is really not a 5 star hotel. Its a really large convention type hotel. Dont expect amazing customer service either. The price is not worth going for if you just want to use the pool. If you are attending a conference or are...More,,,Positive
2790,,,"Dear Erik R,

Thank you for taking the time to share your valued feedback. 

Though I am glad to note that you enjoyed your stay at the Sands SkyPark infinity pool, I am disappointed to learn that your stay with us was not a complete...More",,,Positive
2791,,,"Guess we're not alone in booking MBS hotel just for the roof top pool after seeing it on countless videos/TV shows (F1) and in photos. So was it worth the quite frankly ridiculously expensive night rate??? Well yes and no. The roof pool is amazing,...More",,,Positive
2792,,,"Dear nwestwood,

Thank you for taking the time to share your valued feedback on TripAdvisor.

I am glad to learn that you enjoyed your overall stay at Marina Bay Sands, especially enjoying your appointed accommodation and your time spent at the Sands SkyPark infinity pool....More",,,Positive
2793,,,"We were treated like royalty from the moment we stepped out of the car & the porters greeted us to take our luggage.
All of the staff are well trained, on the ball yet courteous & friendly.
The establishment, room, amenities & food are all...More",,,Positive
2794,,,"Dear mar-shalouise,

Thank you for your delightful review and for the privilege of hosting you on this special occasion. 

I am happy to learn that you and your loved one thoroughly enjoyed your stay at Marina Bay Sands, especially enjoying your upgraded accommodation, the privileges...More",,,Positive
2795,,,"Service excellent, room amazing. Every time you enter the room and put worsley card in the curtains open themselves to reveal the amazing views. I loved coming back to the room just to see it. Obviously the pool is out of this world and the...More",,,Positive
2796,,,"Dear M R,

Thank you for your positive review.

I am glad to note that you thoroughly enjoyed your stay at Marina Bay Sands, particularly enjoying your appointed accommodation and your time spent at the Sands SkyPark infinity pool.

I am also happy to read...More",,,Positive
2797,,,"It’s been about 15 years since we’ve been to Singapore so we thought we’d check out the ‘new’ (to us) Marina Bay area.
This hotel has attracted much publicity for the incredible infinity pool on top of the three-tower building.
When we arrived, our check-in...More",,,Positive
2798,,,"Dear Terrington T,

Thank you for your kind review and recommendation.

I am happy to learn that you thoroughly enjoyed your stay at Marina Bay Sands, particularly enjoying your dining experiences on property and your time spent at the Sands SkyPark infinity pool. 

I am...More",,,Positive
2799,,,"Room fantastic with a view of the bay.
Room clean spacious great coffee machine 
Pool robes and slippers. ideal to wear on visit the the infinity pool.
The infinity pool is fantastic at night and during the day.
Pool side snacks and meals very varied...More",,,Positive
2800,,,"Thank you for your kind review, gilbizltd. 

I am happy to note that you enjoyed a wonderful stay at Marina Bay Sands, particularly enjoying your appointed accommodation, your dining experiences on property, as well as your time spent at the Sands SkyPark infinity pool.

I...More",,,Positive
2801,,,"We stayed in a Club Room which allowed access to Club 55 , which was great. Very modern and well maintained hotel. We had a wonderful view of the city from our room on the 39 th floor. Fabulous service from all the staff we...More",,,Positive
2802,,,"Dear Sington,

Thank you for your kind review and recommendation.

I am pleased to read that you and your family enjoyed your stay at Marina Bay Sands, particularly enjoying your appointed Club Room, the privileges at Club55, as well as your time spent at the...More",,,Positive
2803,,,A boat ride in the Marina was very interesting and informative. It gave a brief history of the formation of Singapore from a mere fishing village till now. It was a contrast looking at old buildings with modern buildings. Well done.,,,Positive
2804,,,Stay here if you love casino hotels and have no expectation on customer service especially from the front office and reservations teams. There are too many examples to share - all I will say is that I was looking forward to checking in at the...More,,,Positive
2805,,,"Dear RedsHK,

Thank you for taking the time to share your valued feedback. 

I am disheartened to read about the challenges you encountered during your stay with us, and that our Team Members’ service standards did not consistently meet your expectations. Please allow me to...More",,,Negative
2806,,,Nice bed n pillow to sleep on. We stay in a suite room which can hv both city view n ocean view. Wakeup early in the morning u can catch the beautiful sunrise with just lying on the living room couch.,,,Positive
2807,,,"Dear YMMKwan,

Thank you for your positive review.

I am pleased to note that you enjoyed your stay at Marina Bay Sands, especially enjoying your appointed Suite.  I certainly look forward to welcoming you back to our one-stop destination soon for more unique stay experiences.",,,Positive
2808,,,This hotel is one of the best we have stayed.  Great customer service and very nice rooms.  Swimming pool on top of the hotel is out of this world.  I would rate as the best.  There are many shops inside the hotel complex and many...More,,,Positive
